"Transfer
ID","API Call","API Start Time
(μs)","API Duration
(μs)","Latency
(μs)","GPU Start Time
(μs)","GPU Duration
(μs)","Command
Buffer ID","Render
Context ID","Device
Context ID","Process
ID"
"0","glTexSubImage3D","3,069,405.426","129.380","11,788.589","3,081,194.015","22.048","10","0x20000","0xFFFFFFFF9A010CF9","8924"
"1","glTexSubImage3D","3,069,535.275","53.954","11,681.460","3,081,216.735","21.824","10","0x20000","0xFFFFFFFF9A010CF9","8924"
"2","glTexSubImage3D","3,069,594.658","29.735","11,644.573","3,081,239.231","21.728","10","0x20000","0xFFFFFFFF9A010CF9","8924"
"3","glTexSubImage3D","3,069,624.730","27.820","11,636.934","3,081,261.664","23.328","10","0x20000","0xFFFFFFFF9A010CF9","8924"
"4","glTexSubImage3D","3,069,652.870","22.764","11,630.650","3,081,283.520","23.200","10","0x20000","0xFFFFFFFF9A010CF9","8924"
"5","glTexSubImage3D","3,069,675.971","23.881","11,631.325","3,081,307.296","21.664","10","0x20000","0xFFFFFFFF9A010CF9","8924"
"6","glTexSubImage3D","3,069,700.180","22.867","11,629.452","3,081,329.632","21.824","10","0x20000","0xFFFFFFFF9A010CF9","8924"
"7","glTexSubImage3D","3,069,723.393","1,007.410","11,629.279","3,081,352.672","0.608","10","0x20000","0xFFFFFFFF9A010CF9","8924"
"7","glTexSubImage3D","3,069,723.393","1,007.410","11,645.279","3,081,368.672","21.632","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"8","glTexSubImage3D","3,070,731.798","47.814","10,659.146","3,081,390.944","21.664","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"9","glTexSubImage3D","3,070,780.116","51.737","10,633.196","3,081,413.312","21.728","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"10","glTexSubImage3D","3,070,832.326","22.316","10,603.418","3,081,435.744","21.664","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"11","glTexSubImage3D","3,070,854.932","22.903","10,603.116","3,081,458.048","22.272","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"12","glTexSubImage3D","3,070,878.266","89.772","10,602.854","3,081,481.120","21.632","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"13","glTexSubImage3D","3,070,968.384","21.451","10,535.008","3,081,503.392","21.664","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"14","glTexSubImage3D","3,070,990.146","24.299","10,535.486","3,081,525.632","23.073","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"15","glTexSubImage3D","3,071,015.043","25.146","10,532.254","3,081,547.297","23.232","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"16","glTexSubImage3D","3,071,040.756","21.226","10,530.957","3,081,571.713","22.304","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"17","glTexSubImage3D","3,071,062.551","20.559","10,532.042","3,081,594.593","21.632","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"18","glTexSubImage3D","3,071,083.406","21.388","10,533.427","3,081,616.833","21.632","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"19","glTexSubImage3D","3,071,105.090","22.186","10,533.983","3,081,639.073","21.664","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"20","glTexSubImage3D","3,071,127.624","23.427","10,533.689","3,081,661.313","21.664","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"21","glTexSubImage3D","3,071,151.357","22.321","10,532.196","3,081,683.553","21.664","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"22","glTexSubImage3D","3,071,174.037","558.749","10,532.588","3,081,706.625","0.672","11","0x20000","0xFFFFFFFF9A010CF9","8924"
"22","glTexSubImage3D","3,071,174.037","558.749","10,548.844","3,081,722.881","22.048","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"23","glTexSubImage3D","3,071,733.387","40.377","10,012.182","3,081,745.569","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"24","glTexSubImage3D","3,071,774.923","23.605","9,992.950","3,081,767.873","21.889","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"25","glTexSubImage3D","3,071,798.910","91.729","9,991.428","3,081,790.338","21.728","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"26","glTexSubImage3D","3,071,891.234","23.649","9,921.472","3,081,812.706","21.792","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"27","glTexSubImage3D","3,071,915.176","22.647","9,919.962","3,081,835.138","21.728","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"28","glTexSubImage3D","3,071,938.309","22.193","9,919.229","3,081,857.538","21.760","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"29","glTexSubImage3D","3,071,960.789","21.093","9,919.117","3,081,879.906","21.632","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"30","glTexSubImage3D","3,071,982.189","20.663","9,920.149","3,081,902.338","21.696","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"31","glTexSubImage3D","3,072,003.135","20.834","9,921.539","3,081,924.674","23.520","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"32","glTexSubImage3D","3,072,024.270","22.267","9,924.596","3,081,948.866","21.760","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"33","glTexSubImage3D","3,072,046.910","23.170","9,924.612","3,081,971.522","21.665","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"34","glTexSubImage3D","3,072,070.703","21.652","9,923.092","3,081,993.795","22.112","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"35","glTexSubImage3D","3,072,092.808","20.730","9,923.803","3,082,016.611","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"36","glTexSubImage3D","3,072,113.844","21.654","9,925.135","3,082,038.979","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"37","glTexSubImage3D","3,072,135.890","21.466","9,925.521","3,082,061.411","22.880","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"38","glTexSubImage3D","3,072,157.688","21.988","9,925.387","3,082,083.075","22.848","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"39","glTexSubImage3D","3,072,179.963","21.224","9,926.568","3,082,106.531","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"40","glTexSubImage3D","3,072,201.488","21.487","9,927.283","3,082,128.771","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"41","glTexSubImage3D","3,072,223.271","21.510","9,927.740","3,082,151.011","21.632","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"42","glTexSubImage3D","3,072,245.126","20.806","9,928.125","3,082,173.251","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"43","glTexSubImage3D","3,072,266.227","21.042","9,929.264","3,082,195.491","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"44","glTexSubImage3D","3,072,287.565","21.706","9,930.166","3,082,217.731","21.824","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"45","glTexSubImage3D","3,072,309.581","21.282","9,930.679","3,082,240.260","21.632","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"46","glTexSubImage3D","3,072,331.490","21.571","9,931.010","3,082,262.500","21.632","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"47","glTexSubImage3D","3,072,353.399","21.877","9,931.629","3,082,285.028","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"48","glTexSubImage3D","3,072,375.585","20.799","9,931.715","3,082,307.300","21.632","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"49","glTexSubImage3D","3,072,396.731","20.309","9,933.321","3,082,330.052","21.984","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"50","glTexSubImage3D","3,072,417.338","20.985","9,935.338","3,082,352.676","22.016","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"51","glTexSubImage3D","3,072,438.647","20.527","9,936.685","3,082,375.332","22.464","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"52","glTexSubImage3D","3,072,459.478","20.536","9,939.214","3,082,398.692","21.632","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"53","glTexSubImage3D","3,072,480.357","148.259","9,940.607","3,082,420.964","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"54","glTexSubImage3D","3,072,629.140","98.336","9,814.129","3,082,443.269","22.048","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"55","glTexSubImage3D","3,072,728.120","60.219","9,737.997","3,082,466.117","21.760","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"56","glTexSubImage3D","3,072,789.640","71.471","9,698.877","3,082,488.517","21.696","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"57","glTexSubImage3D","3,072,861.652","79.248","9,649.201","3,082,510.853","21.728","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"58","glTexSubImage3D","3,072,941.397","43.900","9,591.888","3,082,533.285","21.856","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"59","glTexSubImage3D","3,072,985.720","86.232","9,570.029","3,082,555.749","21.888","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"60","glTexSubImage3D","3,073,073.402","95.888","9,504.843","3,082,578.245","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"61","glTexSubImage3D","3,073,169.833","36.985","9,430.876","3,082,600.709","21.632","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"62","glTexSubImage3D","3,073,207.280","39.545","9,415.669","3,082,622.949","22.144","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"63","glTexSubImage3D","3,073,247.287","26.621","9,398.446","3,082,645.733","21.696","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"64","glTexSubImage3D","3,073,274.383","33.948","9,393.686","3,082,668.069","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"65","glTexSubImage3D","3,073,308.866","28.964","9,381.443","3,082,690.309","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"66","glTexSubImage3D","3,073,339.213","25.184","9,373.337","3,082,712.550","21.631","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"67","glTexSubImage3D","3,073,364.864","25.518","9,369.958","3,082,734.822","21.728","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"68","glTexSubImage3D","3,073,391.014","23.786","9,366.240","3,082,757.254","23.232","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"69","glTexSubImage3D","3,073,415.652","27.676","9,363.330","3,082,778.982","23.168","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"70","glTexSubImage3D","3,073,443.910","23.641","9,358.848","3,082,802.758","21.952","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"71","glTexSubImage3D","3,073,468.192","25.543","9,357.094","3,082,825.286","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"72","glTexSubImage3D","3,073,494.043","21.338","9,353.547","3,082,847.590","21.696","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"73","glTexSubImage3D","3,073,515.776","22.739","9,354.406","3,082,870.182","21.792","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"74","glTexSubImage3D","3,073,538.805","22.847","9,353.777","3,082,892.582","21.952","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"75","glTexSubImage3D","3,073,561.938","23.781","9,353.204","3,082,915.142","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"76","glTexSubImage3D","3,073,586.002","25.728","9,351.380","3,082,937.382","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"77","glTexSubImage3D","3,073,612.666","65.406","9,347.021","3,082,959.687","21.632","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"78","glTexSubImage3D","3,073,678.944","28.880","9,302.983","3,082,981.927","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"79","glTexSubImage3D","3,073,708.154","25.733","9,296.205","3,083,004.359","21.696","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"80","glTexSubImage3D","3,073,734.205","22.442","9,292.522","3,083,026.727","21.696","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"81","glTexSubImage3D","3,073,757.008","20.735","9,292.023","3,083,049.031","21.984","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"82","glTexSubImage3D","3,073,778.029","20.565","9,293.722","3,083,071.751","22.464","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"83","glTexSubImage3D","3,073,798.930","20.784","9,296.341","3,083,095.271","21.664","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"84","glTexSubImage3D","3,073,820.010","194.147","9,298.429","3,083,118.439","0.608","12","0x20000","0xFFFFFFFF9A010CF9","8924"
"84","glTexSubImage3D","3,073,820.010","194.147","9,314.525","3,083,134.535","21.920","13","0x20000","0xFFFFFFFF9A010CF9","8924"
"85","glTexSubImage3D","3,074,014.887","65.280","9,142.272","3,083,157.159","21.664","13","0x20000","0xFFFFFFFF9A010CF9","8924"
